courseId,chapterId,lessonId,topicId,topicTitle,videoUrl,description,order
course_1,ch_1_01,les_1_01_01,topic_1_01_01_1,Entering the Ward Zone – Hospital QMS Framework & Accreditation Codes,https://www.youtube.com/watch?v=KQ0IWnrakRQ,"Introduces the hospital QMS framework and accreditation standards to ensure consistent, high-quality care delivery. Strengthens compliance, quality assurance, and drives continuous improvement across all clinical operations.",1
course_2,ch_2_01,les_2_01_01,topic_2_01_01_1,Source Data Verification (SDV),https://www.youtube.com/watch?v=qlTBhG-_rEY,"Source Data Verification (SDV) is the process of checking clinical trial data entered in case report forms against the original source records to ensure accuracy and reliability. It helps maintain data integrity, compliance, and credibility in clinical research.",1
course_3,ch_3_01,les_3_01_01,topic_3_01_01_1,Classification of an Adverse Event,https://www.youtube.com/watch?v=tkJDJuZacNg,"Adverse Events are classified by Severity (Mild, Moderate, Severe), Seriousness (Serious or Non-serious), Causality (Related, Not Related, Suspected), and Expectedness (Expected or Unexpected).",1
course_4,ch_4_01,les_4_01_01,topic_4_01_01_1,AI in Data Research,https://www.youtube.com/watch?v=zxZjjdNx_7Q ,"AI in Data Research involves using machine learning and advanced algorithms to collect, clean, analyze, and interpret large datasets efficiently. It enhances accuracy, speeds up discoveries, and uncovers hidden patterns for better decision-making in research.",1
course_5,ch_5_01,les_5_01_01,topic_5_01_01_1,Nonclinical Data Structure with AI Parsing,https://www.youtube.com/watch?v=ORAaGgYXSdE,"Nonclinical data is structured into standardized formats like SEND for regulatory use. AI parsing automates extraction from unstructured reports, ensuring faster, accurate, and compliant data organization.",1
course_6,ch_6_01,les_6_01_01,topic_6_01_01_1,Crafting Product Monographs,https://www.youtube.com/watch?v=Z4DJ3nKIF7k ,"Crafting product monographs involves compiling comprehensive, evidence-based information on a drug’s safety, efficacy, indications, and usage. It ensures healthcare professionals and patients have clear, reliable guidance for safe and effective use.",1
course_7,ch_7_01,les_7_01_01,topic_7_01_01_1,Intelligent Health Systems – The New Operating Model,https://www.youtube.com/watch?v=,"Blueprint for how next-generation hospitals integrate AI, automation and connected workflows to run as intelligent, adaptive systems.",1
course_7,ch_7_01,les_7_01_01,topic_7_01_01_2,"Data Engines, AI Workflows and the Modern Healthcare Stack",https://www.youtube.com/watch?v=,"Structure of the data pipelines, models and orchestration layers that power real-time clinical and operational intelligence.",2
course_7,ch_7_01,les_7_01_01,topic_7_01_01_3,Inside a Predictive Care System – A Real Case Breakdown,https://www.youtube.com/watch?v=,"Step-by-step dissection of how a predictive care engine detects risk, triggers interventions and improves patient outcomes.",3
course_8,ch_8_01,les_8_01_01,topic_8_01_01_1,The Consulting Playbook Behind Modern Healthcare Transformation,https://www.youtube.com/watch?v=,"Methods and frameworks consultants use to redesign care delivery, optimize systems and drive enterprise-level change.",1
course_8,ch_8_01,les_8_01_01,topic_8_01_01_2,Analytics & Digital Transformation: The Enterprise Healthcare Blueprint,https://www.youtube.com/watch?v=,"End-to-end roadmap for building a data-driven, AI-enabled healthcare enterprise aligned to clinical, operational and financial outcomes.",2
course_8,ch_8_01,les_8_01_01,topic_8_01_01_3,Corporate Case Structures: The Master Playbook Consultants Use to Solve $100M+ Healthcare Problems,https://www.youtube.com/watch?v=,"Core case-solving structures used in high-stakes healthcare consulting to break down, analyze and solve complex enterprise problems.",3
